# --- SERVER MAIN (8080) ---

# Root /
http://127.0.0.1:8080/ GET
http://127.0.0.1:8080/ POST
http://127.0.0.1:8080/ PUT
http://127.0.0.1:8080/ DELETE
http://127.0.0.1:8080/ PATCH
http://127.0.0.1:8080/ HEAD
http://127.0.0.1:8080/ OPTIONS

# /tours
http://127.0.0.1:8080/tours GET
http://127.0.0.1:8080/tours POST
http://127.0.0.1:8080/tours PUT
http://127.0.0.1:8080/tours DELETE
http://127.0.0.1:8080/tours PATCH
http://127.0.0.1:8080/tours HEAD
http://127.0.0.1:8080/tours OPTIONS

# /cgi-bin
http://127.0.0.1:8080/cgi-bin/test.py GET
http://127.0.0.1:8080/cgi-bin/test.py POST
http://127.0.0.1:8080/cgi-bin/test.sh GET
http://127.0.0.1:8080/cgi-bin/test.sh POST
http://127.0.0.1:8080/cgi-bin/test.py PUT
http://127.0.0.1:8080/cgi-bin/test.sh DELETE
http://127.0.0.1:8080/cgi-bin/test.py HEAD
http://127.0.0.1:8080/cgi-bin/test.sh OPTIONS


# --- SERVER API (8081) ---

# Root /
http://127.0.0.1:8081/ GET
http://127.0.0.1:8081/ POST
http://127.0.0.1:8081/ PUT
http://127.0.0.1:8081/ DELETE
http://127.0.0.1:8081/ PATCH
http://127.0.0.1:8081/ HEAD
http://127.0.0.1:8081/ OPTIONS

# /uploads
http://127.0.0.1:8081/uploads GET
http://127.0.0.1:8081/uploads POST
http://127.0.0.1:8081/uploads DELETE
http://127.0.0.1:8081/uploads PUT
http://127.0.0.1:8081/uploads PATCH
http://127.0.0.1:8081/uploads HEAD
http://127.0.0.1:8081/uploads OPTIONS

# /cgi-bin
http://127.0.0.1:8081/cgi-bin/test.py GET
http://127.0.0.1:8081/cgi-bin/test.py POST
http://127.0.0.1:8081/cgi-bin/test.sh GET
http://127.0.0.1:8081/cgi-bin/test.sh POST
http://127.0.0.1:8081/cgi-bin/test.py PUT
http://127.0.0.1:8081/cgi-bin/test.sh DELETE
http://127.0.0.1:8081/cgi-bin/test.py HEAD
http://127.0.0.1:8081/cgi-bin/test.sh OPTIONS
